conversation,FC_res,Func Name,Args
"[
  {
    ""role"": ""user"",
    ""content"": ""Check if my car has any illegal records""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.TrafficViolations.queryViolation"",
      ""arguments"": {}
    }
  },
  {
    ""role"": ""assistant"",
    ""content"": ""What city is the violation located in?""
  },
  {
    ""role"": ""user"",
    ""content"": ""The violating city is Guangzhou.""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.TrafficViolations.queryViolation"",
      ""arguments"": {
        ""city"": ""Guangzhou""
      }
    }
  },
  {
    ""role"": ""assistant"",
    ""content"": ""Please provide the license plate number""
  },
  {
    ""role"": ""user"",
    ""content"": ""My license plate number is Yue B67890.""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.TrafficViolations.queryViolation"",
      ""arguments"": {
        ""city"": ""Guangzhou"",
        ""plate_number"": ""Yue B67890""
      }
    }
  }
]","[
  {
    ""input"": ""user:Check if my car has any illegal records"",
    ""predict"": {
      ""name"": ""Navigation.TrafficViolations.queryViolation"",
      ""arguments"": {}
    },
    ""label"": {
      ""name"": ""Navigation.TrafficViolations.queryViolation"",
      ""arguments"": {}
    }
  },
  {
    ""input"": ""user:Check if my car has any illegal records\nassistant:What city is the violation located in?\nuser:The violating city is Guangzhou."",
    ""predict"": {
      ""name"": ""Navigation.TrafficViolations.queryViolation"",
      ""arguments"": {
        ""city"": ""Guangzhou""
      }
    },
    ""label"": {
      ""name"": ""Navigation.TrafficViolations.queryViolation"",
      ""arguments"": {
        ""city"": ""Guangzhou""
      }
    }
  },
  {
    ""input"": ""user:Check if my car has any illegal records\nassistant:What city is the violation located in?\nuser:The violating city is Guangzhou.\nassistant:Please provide the license plate number\nuser:My license plate number is Yue B67890."",
    ""predict"": {
      ""name"": ""Navigation.TrafficViolations.queryViolation"",
      ""arguments"": {
        ""plate_number"": ""Yue B67890"",
        ""city"": ""Guangzhou""
      }
    },
    ""label"": {
      ""name"": ""Navigation.TrafficViolations.queryViolation"",
      ""arguments"": {
        ""city"": ""Guangzhou"",
        ""plate_number"": ""Yue B67890""
      }
    }
  }
]",True,"[True, True, True]"
"[
  {
    ""role"": ""user"",
    ""content"": ""See what's going on with my traffic violations""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.TrafficViolations.queryViolation"",
      ""arguments"": {}
    }
  },
  {
    ""role"": ""assistant"",
    ""content"": ""Please provide the city where the violation occurred""
  },
  {
    ""role"": ""user"",
    ""content"": ""The violation occurred in Guangzhou.""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.TrafficViolations.queryViolation"",
      ""arguments"": {
        ""city"": ""Guangzhou""
      }
    }
  },
  {
    ""role"": ""assistant"",
    ""content"": ""Please provide the license plate number""
  },
  {
    ""role"": ""user"",
    ""content"": ""My license plate number is Yue B6789X.""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.TrafficViolations.queryViolation"",
      ""arguments"": {
        ""city"": ""Guangzhou"",
        ""plate_number"": ""Yue B6789X""
      }
    }
  }
]","[
  {
    ""input"": ""user:See what's going on with my traffic violations"",
    ""predict"": {
      ""name"": ""Navigation.TrafficViolations.viewViolationDetail"",
      ""arguments"": {}
    },
    ""label"": {
      ""name"": ""Navigation.TrafficViolations.queryViolation"",
      ""arguments"": {}
    }
  },
  {
    ""input"": ""user:See what's going on with my traffic violations\nassistant:Please provide the city where the violation occurred\nuser:The violation occurred in Guangzhou."",
    ""predict"": {
      ""name"": ""Navigation.TrafficViolations.queryViolation"",
      ""arguments"": {
        ""city"": ""Guangzhou""
      }
    },
    ""label"": {
      ""name"": ""Navigation.TrafficViolations.queryViolation"",
      ""arguments"": {
        ""city"": ""Guangzhou""
      }
    }
  },
  {
    ""input"": ""user:See what's going on with my traffic violations\nassistant:Please provide the city where the violation occurred\nuser:The violation occurred in Guangzhou.\nassistant:Please provide the license plate number\nuser:My license plate number is Yue B6789X."",
    ""predict"": {
      ""name"": ""Navigation.TrafficViolations.queryViolation"",
      ""arguments"": {
        ""plate_number"": ""Yue B6789X"",
        ""city"": ""Guangzhou""
      }
    },
    ""label"": {
      ""name"": ""Navigation.TrafficViolations.queryViolation"",
      ""arguments"": {
        ""city"": ""Guangzhou"",
        ""plate_number"": ""Yue B6789X""
      }
    }
  }
]",False,"[True, True, True]"
"[
  {
    ""role"": ""user"",
    ""content"": ""Share infringement information""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.TrafficViolations.shareViolationDetail"",
      ""arguments"": {}
    }
  },
  {
    ""role"": ""assistant"",
    ""content"": ""What city is the violation located in?""
  },
  {
    ""role"": ""user"",
    ""content"": ""The violation occurred in Guangzhou.""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.TrafficViolations.shareViolationDetail"",
      ""arguments"": {
        ""city"": ""Guangzhou""
      }
    }
  },
  {
    ""role"": ""assistant"",
    ""content"": ""Please provide a way to share""
  },
  {
    ""role"": ""user"",
    ""content"": ""Share the link via email.""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.TrafficViolations.shareViolationDetail"",
      ""arguments"": {
        ""city"": ""Guangzhou"",
        ""media"": ""Email""
      }
    }
  },
  {
    ""role"": ""assistant"",
    ""content"": ""Please provide recipients for the shared content""
  },
  {
    ""role"": ""user"",
    ""content"": ""The recipient is Manager Zhang.""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.TrafficViolations.shareViolationDetail"",
      ""arguments"": {
        ""city"": ""Guangzhou"",
        ""media"": ""Email"",
        ""name"": ""Manager Zhang""
      }
    }
  },
  {
    ""role"": ""assistant"",
    ""content"": ""Please provide the license plate number""
  },
  {
    ""role"": ""user"",
    ""content"": ""My license plate number is Yue B6789X.""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.TrafficViolations.shareViolationDetail"",
      ""arguments"": {
        ""city"": ""Guangzhou"",
        ""media"": ""Email"",
        ""name"": ""Manager Zhang"",
        ""plate_number"": ""Yue B6789X""
      }
    }
  },
  {
    ""role"": ""assistant"",
    ""content"": ""When is the order opening time?""
  },
  {
    ""role"": ""user"",
    ""content"": ""It is April 1, 2023.""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.TrafficViolations.shareViolationDetail"",
      ""arguments"": {
        ""city"": ""Guangzhou"",
        ""media"": ""Email"",
        ""name"": ""Manager Zhang"",
        ""plate_number"": ""Yue B6789X"",
        ""time"": ""April 1, 2023""
      }
    }
  }
]","[
  {
    ""input"": ""user:Share infringement information"",
    ""predict"": {
      ""name"": ""Navigation.TrafficViolations.shareViolationDetail"",
      ""arguments"": {}
    },
    ""label"": {
      ""name"": ""Navigation.TrafficViolations.shareViolationDetail"",
      ""arguments"": {}
    }
  },
  {
    ""input"": ""user:Share infringement information\nassistant:What city is the violation located in?\nuser:The violation occurred in Guangzhou."",
    ""predict"": {
      ""name"": ""Navigation.TrafficViolations.shareViolationDetail"",
      ""arguments"": {
        ""city"": ""Guangzhou""
      }
    },
    ""label"": {
      ""name"": ""Navigation.TrafficViolations.shareViolationDetail"",
      ""arguments"": {
        ""city"": ""Guangzhou""
      }
    }
  },
  {
    ""input"": ""user:Share infringement information\nassistant:What city is the violation located in?\nuser:The violation occurred in Guangzhou.\nassistant:Please provide a way to share\nuser:Share the link via email."",
    ""predict"": {
      ""name"": ""Navigation.TrafficViolations.shareViolationDetail"",
      ""arguments"": {
        ""city"": ""Guangzhou"",
        ""media"": ""email""
      }
    },
    ""label"": {
      ""name"": ""Navigation.TrafficViolations.shareViolationDetail"",
      ""arguments"": {
        ""city"": ""Guangzhou"",
        ""media"": ""Email""
      }
    }
  },
  {
    ""input"": ""user:Share infringement information\nassistant:What city is the violation located in?\nuser:The violation occurred in Guangzhou.\nassistant:Please provide a way to share\nuser:Share the link via email.\nassistant:Please provide recipients for the shared content\nuser:The recipient is Manager Zhang."",
    ""predict"": {
      ""name"": ""Navigation.TrafficViolations.shareViolationDetail"",
      ""arguments"": {
        ""city"": ""Guangzhou"",
        ""media"": ""email"",
        ""name"": ""Manager Zhang""
      }
    },
    ""label"": {
      ""name"": ""Navigation.TrafficViolations.shareViolationDetail"",
      ""arguments"": {
        ""city"": ""Guangzhou"",
        ""media"": ""Email"",
        ""name"": ""Manager Zhang""
      }
    }
  },
  {
    ""input"": ""user:Share infringement information\nassistant:What city is the violation located in?\nuser:The violation occurred in Guangzhou.\nassistant:Please provide a way to share\nuser:Share the link via email.\nassistant:Please provide recipients for the shared content\nuser:The recipient is Manager Zhang.\nassistant:Please provide the license plate number\nuser:My license plate number is Yue B6789X."",
    ""predict"": {
      ""name"": ""Navigation.TrafficViolations.shareViolationDetail"",
      ""arguments"": {
        ""plate_number"": ""Yue B6789X"",
        ""city"": ""Guangzhou"",
        ""media"": ""email"",
        ""name"": ""Manager Zhang""
      }
    },
    ""label"": {
      ""name"": ""Navigation.TrafficViolations.shareViolationDetail"",
      ""arguments"": {
        ""city"": ""Guangzhou"",
        ""media"": ""Email"",
        ""name"": ""Manager Zhang"",
        ""plate_number"": ""Yue B6789X""
      }
    }
  },
  {
    ""input"": ""user:Share infringement information\nassistant:What city is the violation located in?\nuser:The violation occurred in Guangzhou.\nassistant:Please provide a way to share\nuser:Share the link via email.\nassistant:Please provide recipients for the shared content\nuser:The recipient is Manager Zhang.\nassistant:Please provide the license plate number\nuser:My license plate number is Yue B6789X.\nassistant:When is the order opening time?\nuser:It is April 1, 2023."",
    ""predict"": {
      ""name"": ""Navigation.TrafficViolations.shareViolationDetail"",
      ""arguments"": {
        ""plate_number"": ""Yue B6789X"",
        ""city"": ""Guangzhou"",
        ""time"": ""April 1, 2023"",
        ""media"": ""email"",
        ""name"": ""Manager Zhang""
      }
    },
    ""label"": {
      ""name"": ""Navigation.TrafficViolations.shareViolationDetail"",
      ""arguments"": {
        ""city"": ""Guangzhou"",
        ""media"": ""Email"",
        ""name"": ""Manager Zhang"",
        ""plate_number"": ""Yue B6789X"",
        ""time"": ""April 1, 2023""
      }
    }
  }
]",True,"[True, True, True, True, True, True]"
"[
  {
    ""role"": ""user"",
    ""content"": ""How to pay traffic violation fines online?""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.TrafficViolations.payViolations"",
      ""arguments"": {}
    }
  },
  {
    ""role"": ""assistant"",
    ""content"": ""What city is the violation located in?""
  },
  {
    ""role"": ""user"",
    ""content"": ""The violation occurred in Guangzhou.""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.TrafficViolations.payViolations"",
      ""arguments"": {
        ""city"": ""Guangzhou""
      }
    }
  },
  {
    ""role"": ""assistant"",
    ""content"": ""Please provide the license plate number""
  },
  {
    ""role"": ""user"",
    ""content"": ""My license plate number is Yue B88888.""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.TrafficViolations.payViolations"",
      ""arguments"": {
        ""city"": ""Guangzhou"",
        ""plate_number"": ""Yue B88888""
      }
    }
  },
  {
    ""role"": ""assistant"",
    ""content"": ""When to start billing""
  },
  {
    ""role"": ""user"",
    ""content"": ""Billing starts March 15, 2023 at 2pm.""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.TrafficViolations.payViolations"",
      ""arguments"": {
        ""city"": ""Guangzhou"",
        ""plate_number"": ""Yue B88888"",
        ""time"": ""March 15, 2023""
      }
    }
  }
]","[
  {
    ""input"": ""user:How to pay traffic violation fines online?"",
    ""predict"": {
      ""name"": ""Navigation.TrafficViolations.payViolations"",
      ""arguments"": {
        ""plate_number"": ""Your license plate number"",
        ""city"": ""City where the violation occurred"",
        ""time"": ""Billing time""
      }
    },
    ""label"": {
      ""name"": ""Navigation.TrafficViolations.payViolations"",
      ""arguments"": {}
    }
  },
  {
    ""input"": ""user:How to pay traffic violation fines online?\nassistant:What city is the violation located in?\nuser:The violation occurred in Guangzhou."",
    ""predict"": {
      ""name"": ""Navigation.TrafficViolations.payViolations"",
      ""arguments"": {
        ""city"": ""Guangzhou""
      }
    },
    ""label"": {
      ""name"": ""Navigation.TrafficViolations.payViolations"",
      ""arguments"": {
        ""city"": ""Guangzhou""
      }
    }
  },
  {
    ""input"": ""user:How to pay traffic violation fines online?\nassistant:What city is the violation located in?\nuser:The violation occurred in Guangzhou.\nassistant:Please provide the license plate number\nuser:My license plate number is Yue B88888."",
    ""predict"": {
      ""name"": ""Navigation.TrafficViolations.payViolations"",
      ""arguments"": {
        ""plate_number"": ""Yue B88888"",
        ""city"": ""Guangzhou""
      }
    },
    ""label"": {
      ""name"": ""Navigation.TrafficViolations.payViolations"",
      ""arguments"": {
        ""city"": ""Guangzhou"",
        ""plate_number"": ""Yue B88888""
      }
    }
  },
  {
    ""input"": ""user:How to pay traffic violation fines online?\nassistant:What city is the violation located in?\nuser:The violation occurred in Guangzhou.\nassistant:Please provide the license plate number\nuser:My license plate number is Yue B88888.\nassistant:When to start billing\nuser:Billing starts March 15, 2023 at 2pm."",
    ""predict"": {
      ""name"": ""Navigation.TrafficViolations.payViolations"",
      ""arguments"": {
        ""plate_number"": ""Yue B88888"",
        ""city"": ""Guangzhou"",
        ""time"": ""March 15, 2023 at 2pm""
      }
    },
    ""label"": {
      ""name"": ""Navigation.TrafficViolations.payViolations"",
      ""arguments"": {
        ""city"": ""Guangzhou"",
        ""plate_number"": ""Yue B88888"",
        ""time"": ""March 15, 2023""
      }
    }
  }
]",True,"[False, True, True, True]"
"[
  {
    ""role"": ""user"",
    ""content"": ""I want to report a traffic accident, there are no specific details, just want to let the relevant departments know.""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.TrafficViolations.reportAccident"",
      ""arguments"": {}
    }
  },
  {
    ""role"": ""assistant"",
    ""content"": ""Where was the accident?""
  },
  {
    ""role"": ""user"",
    ""content"": ""The location of the accident is near Zhongshan Mausoleum in Nanjing.""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.TrafficViolations.reportAccident"",
      ""arguments"": {
        ""location"": ""Near Zhongshan Mausoleum in Nanjing""
      }
    }
  },
  {
    ""role"": ""assistant"",
    ""content"": ""Please provide the license plate number""
  },
  {
    ""role"": ""user"",
    ""content"": ""My license plate number is Su E67890, there is a small problem.""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.TrafficViolations.reportAccident"",
      ""arguments"": {
        ""location"": ""Near Zhongshan Mausoleum in Nanjing"",
        ""plate_number"": ""Su E67890""
      }
    }
  }
]","[
  {
    ""input"": ""user:I want to report a traffic accident, there are no specific details, just want to let the relevant departments know."",
    ""predict"": {
      ""name"": ""Navigation.TrafficViolations.reportAccident"",
      ""arguments"": {}
    },
    ""label"": {
      ""name"": ""Navigation.TrafficViolations.reportAccident"",
      ""arguments"": {}
    }
  },
  {
    ""input"": ""user:I want to report a traffic accident, there are no specific details, just want to let the relevant departments know.\nassistant:Where was the accident?\nuser:The location of the accident is near Zhongshan Mausoleum in Nanjing."",
    ""predict"": {
      ""name"": ""Navigation.TrafficViolations.reportAccident"",
      ""arguments"": {
        ""location"": ""near Zhongshan Mausoleum in Nanjing""
      }
    },
    ""label"": {
      ""name"": ""Navigation.TrafficViolations.reportAccident"",
      ""arguments"": {
        ""location"": ""Near Zhongshan Mausoleum in Nanjing""
      }
    }
  },
  {
    ""input"": ""user:I want to report a traffic accident, there are no specific details, just want to let the relevant departments know.\nassistant:Where was the accident?\nuser:The location of the accident is near Zhongshan Mausoleum in Nanjing.\nassistant:Please provide the license plate number\nuser:My license plate number is Su E67890, there is a small problem."",
    ""predict"": {
      ""name"": ""Navigation.TrafficViolations.reportAccident"",
      ""arguments"": {
        ""plate_number"": ""Su E67890"",
        ""location"": ""near Zhongshan Mausoleum in Nanjing""
      }
    },
    ""label"": {
      ""name"": ""Navigation.TrafficViolations.reportAccident"",
      ""arguments"": {
        ""location"": ""Near Zhongshan Mausoleum in Nanjing"",
        ""plate_number"": ""Su E67890""
      }
    }
  }
]",True,"[True, True, True]"
"[
  {
    ""role"": ""user"",
    ""content"": ""Report a traffic accident""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.TrafficViolations.reportAccident"",
      ""arguments"": {}
    }
  },
  {
    ""role"": ""assistant"",
    ""content"": ""Where was the accident?""
  },
  {
    ""role"": ""user"",
    ""content"": ""The location of the accident is near Chang 'an Street.""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.TrafficViolations.reportAccident"",
      ""arguments"": {
        ""location"": ""Changan Street""
      }
    }
  },
  {
    ""role"": ""assistant"",
    ""content"": ""Please provide the license plate number""
  },
  {
    ""role"": ""user"",
    ""content"": ""My license plate number is Beijing C98765.""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.TrafficViolations.reportAccident"",
      ""arguments"": {
        ""location"": ""Changan Street"",
        ""plate_number"": ""Beijing C98765""
      }
    }
  }
]","[
  {
    ""input"": ""user:Report a traffic accident"",
    ""predict"": {
      ""name"": ""Navigation.TrafficViolations.reportAccident"",
      ""arguments"": {}
    },
    ""label"": {
      ""name"": ""Navigation.TrafficViolations.reportAccident"",
      ""arguments"": {}
    }
  },
  {
    ""input"": ""user:Report a traffic accident\nassistant:Where was the accident?\nuser:The location of the accident is near Chang 'an Street."",
    ""predict"": {
      ""name"": ""Navigation.TrafficViolations.reportAccident"",
      ""arguments"": {
        ""location"": ""near Chang 'an Street""
      }
    },
    ""label"": {
      ""name"": ""Navigation.TrafficViolations.reportAccident"",
      ""arguments"": {
        ""location"": ""Changan Street""
      }
    }
  },
  {
    ""input"": ""user:Report a traffic accident\nassistant:Where was the accident?\nuser:The location of the accident is near Chang 'an Street.\nassistant:Please provide the license plate number\nuser:My license plate number is Beijing C98765."",
    ""predict"": {
      ""name"": ""Navigation.TrafficViolations.reportAccident"",
      ""arguments"": {
        ""plate_number"": ""Beijing C98765"",
        ""location"": ""near Chang 'an Street""
      }
    },
    ""label"": {
      ""name"": ""Navigation.TrafficViolations.reportAccident"",
      ""arguments"": {
        ""location"": ""Changan Street"",
        ""plate_number"": ""Beijing C98765""
      }
    }
  }
]",True,"[True, False, False]"
"[
  {
    ""role"": ""user"",
    ""content"": ""How is the vehicle insurance information going?""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.TrafficViolations.viewCarInsurance"",
      ""arguments"": {}
    }
  },
  {
    ""role"": ""assistant"",
    ""content"": ""Please provide the license plate number""
  },
  {
    ""role"": ""user"",
    ""content"": ""My license plate number is Gan B77777.""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.TrafficViolations.viewCarInsurance"",
      ""arguments"": {
        ""plate_number"": ""Gan B77777""
      }
    }
  }
]","[
  {
    ""input"": ""user:How is the vehicle insurance information going?"",
    ""predict"": {
      ""name"": ""Navigation.TrafficViolations.viewCarInsurance"",
      ""arguments"": {}
    },
    ""label"": {
      ""name"": ""Navigation.TrafficViolations.viewCarInsurance"",
      ""arguments"": {}
    }
  },
  {
    ""input"": ""user:How is the vehicle insurance information going?\nassistant:Please provide the license plate number\nuser:My license plate number is Gan B77777."",
    ""predict"": {
      ""name"": ""Navigation.TrafficViolations.viewCarInsurance"",
      ""arguments"": {
        ""plate_number"": ""Gan B77777""
      }
    },
    ""label"": {
      ""name"": ""Navigation.TrafficViolations.viewCarInsurance"",
      ""arguments"": {
        ""plate_number"": ""Gan B77777""
      }
    }
  }
]",True,"[True, True]"
"[
  {
    ""role"": ""user"",
    ""content"": ""I'm reporting a breakdown in my car""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.Bicycles.submitBikeFault"",
      ""arguments"": {}
    }
  },
  {
    ""role"": ""assistant"",
    ""content"": ""What’s the vehicle number?”<ex id=\""_2095360944\""/><ex id=\""_2095360943\""/><ex id=\""_2095360942\""/><ex id=\""_2095360940\""/>""
  },
  {
    ""role"": ""user"",
    ""content"": ""My vehicle number is Beijing A88888.""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.Bicycles.submitBikeFault"",
      ""arguments"": {
        ""number"": ""Beijing A88888""
      }
    }
  }
]","[
  {
    ""input"": ""user:I'm reporting a breakdown in my car"",
    ""predict"": {
      ""name"": ""ConvenientLiving.AutoLife.reportCarProblem"",
      ""arguments"": {}
    },
    ""label"": {
      ""name"": ""Navigation.Bicycles.submitBikeFault"",
      ""arguments"": {}
    }
  },
  {
    ""input"": ""user:I'm reporting a breakdown in my car\nassistant:What’s the vehicle number?”<ex id=\""_2095360944\""/><ex id=\""_2095360943\""/><ex id=\""_2095360942\""/><ex id=\""_2095360940\""/>\nuser:My vehicle number is Beijing A88888."",
    ""predict"": ""Sorry, no tool is suitable for your request."",
    ""label"": {
      ""name"": ""Navigation.Bicycles.submitBikeFault"",
      ""arguments"": {
        ""number"": ""Beijing A88888""
      }
    }
  }
]",False,"[True, False]"
"[
  {
    ""role"": ""user"",
    ""content"": ""Something seems to be wrong with my vehicle, I need to submit a breakdown report""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.Bicycles.submitBikeFault"",
      ""arguments"": {}
    }
  },
  {
    ""role"": ""assistant"",
    ""content"": ""What’s the vehicle number?”<ex id=\""_2095360944\""/><ex id=\""_2095360943\""/><ex id=\""_2095360942\""/><ex id=\""_2095360940\""/>""
  },
  {
    ""role"": ""user"",
    ""content"": ""The vehicle number is GX-2023-0325""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.Bicycles.submitBikeFault"",
      ""arguments"": {
        ""number"": ""GX-2023-0325""
      }
    }
  }
]","[
  {
    ""input"": ""user:Something seems to be wrong with my vehicle, I need to submit a breakdown report"",
    ""predict"": {
      ""name"": ""Navigation.Bicycles.submitBikeFault"",
      ""arguments"": {}
    },
    ""label"": {
      ""name"": ""Navigation.Bicycles.submitBikeFault"",
      ""arguments"": {}
    }
  },
  {
    ""input"": ""user:Something seems to be wrong with my vehicle, I need to submit a breakdown report\nassistant:What’s the vehicle number?”<ex id=\""_2095360944\""/><ex id=\""_2095360943\""/><ex id=\""_2095360942\""/><ex id=\""_2095360940\""/>\nuser:The vehicle number is GX-2023-0325"",
    ""predict"": {
      ""name"": ""Navigation.Bicycles.submitBikeFault"",
      ""arguments"": {
        ""number"": ""GX-2023-0325""
      }
    },
    ""label"": {
      ""name"": ""Navigation.Bicycles.submitBikeFault"",
      ""arguments"": {
        ""number"": ""GX-2023-0325""
      }
    }
  }
]",True,"[True, True]"
"[
  {
    ""role"": ""user"",
    ""content"": ""Plan your route for me""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.MapNavigation.planNavigationRoute"",
      ""arguments"": {}
    }
  },
  {
    ""role"": ""assistant"",
    ""content"": ""Please provide the name or address of the departure location If there is no specific location your current location will be used""
  },
  {
    ""role"": ""user"",
    ""content"": ""Shanghai Hongqiao Railway Station""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.MapNavigation.planNavigationRoute"",
      ""arguments"": {
        ""departure"": ""Shanghai Hongqiao Railway Station""
      }
    }
  },
  {
    ""role"": ""assistant"",
    ""content"": ""Please provide a name or address for the destination""
  },
  {
    ""role"": ""user"",
    ""content"": ""Shanghai Disneyland""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.MapNavigation.planNavigationRoute"",
      ""arguments"": {
        ""departure"": ""Shanghai Hongqiao Railway Station"",
        ""destination"": ""Shanghai Disneyland""
      }
    }
  },
  {
    ""role"": ""assistant"",
    ""content"": ""What time is your departure? The default is the current time""
  },
  {
    ""role"": ""user"",
    ""content"": ""My departure time is 10am.""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.MapNavigation.planNavigationRoute"",
      ""arguments"": {
        ""departure"": ""Shanghai Hongqiao Railway Station"",
        ""destination"": ""Shanghai Disneyland"",
        ""time"": ""10am""
      }
    }
  },
  {
    ""role"": ""assistant"",
    ""content"": ""How would you like to get around by car, public transport, bike, or on foot?""
  },
  {
    ""role"": ""user"",
    ""content"": ""I choose to drive.""
  },
  {
    ""role"": ""function call"",
    ""content"": {
      ""name"": ""Navigation.MapNavigation.planNavigationRoute"",
      ""arguments"": {
        ""departure"": ""Shanghai Hongqiao Railway Station"",
        ""destination"": ""Shanghai Disneyland"",
        ""time"": ""10am"",
        ""mode"": ""DRIVING""
      }
    }
  }
]","[
  {
    ""input"": ""user:Plan your route for me"",
    ""predict"": ""Sorry, no tool is suitable for your request."",
    ""label"": {
      ""name"": ""Navigation.MapNavigation.planNavigationRoute"",
      ""arguments"": {}
    }
  },
  {
    ""input"": ""user:Plan your route for me\nassistant:Please provide the name or address of the departure location If there is no specific location your current location will be used\nuser:Shanghai Hongqiao Railway Station"",
    ""predict"": {
      ""name"": ""Navigation.MapNavigation.planNavigationRoute"",
      ""arguments"": {
        ""departure"": ""Shanghai Hongqiao Railway Station""
      }
    },
    ""label"": {
      ""name"": ""Navigation.MapNavigation.planNavigationRoute"",
      ""arguments"": {
        ""departure"": ""Shanghai Hongqiao Railway Station""
      }
    }
  },
  {
    ""input"": ""user:Plan your route for me\nassistant:Please provide the name or address of the departure location If there is no specific location your current location will be used\nuser:Shanghai Hongqiao Railway Station\nassistant:Please provide a name or address for the destination\nuser:Shanghai Disneyland"",
    ""predict"": {
      ""name"": ""Navigation.MapNavigation.planNavigationRoute"",
      ""arguments"": {
        ""departure"": ""Shanghai Hongqiao Railway Station"",
        ""destination"": ""Shanghai Disneyland""
      }
    },
    ""label"": {
      ""name"": ""Navigation.MapNavigation.planNavigationRoute"",
      ""arguments"": {
        ""departure"": ""Shanghai Hongqiao Railway Station"",
        ""destination"": ""Shanghai Disneyland""
      }
    }
  },
  {
    ""input"": ""user:Plan your route for me\nassistant:Please provide the name or address of the departure location If there is no specific location your current location will be used\nuser:Shanghai Hongqiao Railway Station\nassistant:Please provide a name or address for the destination\nuser:Shanghai Disneyland\nassistant:What time is your departure? The default is the current time\nuser:My departure time is 10am."",
    ""predict"": {
      ""name"": ""Navigation.MapNavigation.planNavigationRoute"",
      ""arguments"": {
        ""departure"": ""Shanghai Hongqiao Railway Station"",
        ""destination"": ""Shanghai Disneyland"",
        ""time"": ""10am""
      }
    },
    ""label"": {
      ""name"": ""Navigation.MapNavigation.planNavigationRoute"",
      ""arguments"": {
        ""departure"": ""Shanghai Hongqiao Railway Station"",
        ""destination"": ""Shanghai Disneyland"",
        ""time"": ""10am""
      }
    }
  },
  {
    ""input"": ""user:Plan your route for me\nassistant:Please provide the name or address of the departure location If there is no specific location your current location will be used\nuser:Shanghai Hongqiao Railway Station\nassistant:Please provide a name or address for the destination\nuser:Shanghai Disneyland\nassistant:What time is your departure? The default is the current time\nuser:My departure time is 10am.\nassistant:How would you like to get around by car, public transport, bike, or on foot?\nuser:I choose to drive."",
    ""predict"": {
      ""name"": ""Navigation.MapNavigation.planNavigationRoute"",
      ""arguments"": {
        ""departure"": ""Shanghai Hongqiao Railway Station"",
        ""destination"": ""Shanghai Disneyland"",
        ""time"": ""10am"",
        ""mode"": ""car""
      }
    },
    ""label"": {
      ""name"": ""Navigation.MapNavigation.planNavigationRoute"",
      ""arguments"": {
        ""departure"": ""Shanghai Hongqiao Railway Station"",
        ""destination"": ""Shanghai Disneyland"",
        ""time"": ""10am"",
        ""mode"": ""DRIVING""
      }
    }
  }
]",False,"[False, True, True, True, False]"
